game_id,round,season,encounter_cards_revealed,burdens_revealed_this_round,burden_applications_this_round,no_valid_target_burden_applications_this_round,strain_attempted_this_round,strain_placed_this_round,strain_prevented_by_supported_this_round,strain_removed_this_round,active_burdens_end_of_round,total_strain_tokens_end_of_round,tiles_at_1_strain_end_of_round,tiles_at_2_strain_end_of_round,overstrained_tiles_end_of_round,population_end_of_round,renown_end_of_round
sim-balanced-1p-002,9,III,1,0,0,0,0,0,0,0,0,0,0,0,0,20,67
sim-balanced-1p-002,10,III,1,0,0,0,0,0,0,0,0,0,0,0,0,36,67
sim-balanced-1p-002,11,III,1,1,1,0,2,0,2,0,1,0,0,0,0,43,67
sim-balanced-1p-002,12,III,1,0,0,0,0,0,0,0,1,0,0,0,0,49,68
sim-balanced-2p-002,1,I,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-2p-002,2,I,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-2p-002,3,I,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-2p-002,4,I,2,1,1,1,0,0,0,0,0,0,0,0,0,5,15
sim-balanced-2p-002,5,II,2,0,0,0,0,0,0,0,0,0,0,0,0,10,35
sim-balanced-2p-002,6,II,2,1,1,1,0,0,0,0,1,0,0,0,0,25,40
sim-balanced-2p-002,7,II,2,0,0,0,0,0,0,0,1,0,0,0,0,49,65
sim-balanced-2p-002,8,II,2,2,5,5,0,0,0,0,3,0,0,0,0,49,65
sim-balanced-2p-002,9,III,2,0,0,0,0,0,0,0,3,0,0,0,0,49,65
sim-balanced-2p-002,10,III,2,0,0,0,0,0,0,0,3,0,0,0,0,49,66
sim-balanced-2p-002,11,III,2,1,1,0,3,1,2,0,3,1,1,0,0,54,66
sim-balanced-2p-002,12,III,2,1,1,1,4,4,0,0,4,5,1,2,0,70,67
sim-balanced-3p-002,1,I,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15
sim-balanced-3p-002,2,I,3,1,1,1,0,0,0,0,0,0,0,0,0,5,36
sim-balanced-3p-002,3,I,3,1,1,1,0,0,0,0,1,0,0,0,0,5,65
sim-balanced-3p-002,4,I,3,1,2,2,0,0,0,0,1,0,0,0,0,15,100
sim-balanced-3p-002,5,II,3,0,0,0,1,1,0,0,1,1,1,0,0,25,115
sim-balanced-3p-002,6,II,3,1,1,0,3,3,0,1,2,3,3,0,0,25,126
sim-balanced-3p-002,7,II,3,0,0,0,2,1,1,0,1,4,4,0,0,35,136
sim-balanced-3p-002,8,II,3,3,5,1,10,9,1,0,2,13,5,4,0,35,137
sim-balanced-3p-002,9,III,3,1,1,0,3,2,0,0,0,15,5,2,2,55,148
sim-balanced-3p-002,10,III,3,1,1,1,0,0,0,0,0,15,5,2,2,65,183
sim-balanced-3p-002,11,III,3,2,2,2,0,0,0,0,0,15,5,2,2,92,188
sim-balanced-3p-002,12,III,3,2,2,0,4,3,1,0,0,18,6,0,4,119,170
sim-balanced-4p-002,1,I,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30
sim-balanced-4p-002,2,I,4,1,1,1,0,0,0,0,0,0,0,0,0,0,30
sim-balanced-4p-002,3,I,4,1,1,1,1,1,0,0,0,1,1,0,0,0,30
sim-balanced-4p-002,4,I,4,0,0,0,0,0,0,0,0,1,1,0,0,5,35
sim-balanced-4p-002,5,II,4,0,0,0,0,0,0,0,0,1,1,0,0,35,55
sim-balanced-4p-002,6,II,4,2,2,1,4,2,2,0,1,3,3,0,0,40,91
sim-balanced-4p-002,7,II,4,0,0,0,2,1,1,0,0,3,3,0,0,50,108
sim-balanced-4p-002,8,II,4,4,7,3,11,5,6,0,3,8,6,1,0,50,114
sim-balanced-4p-002,9,III,4,0,0,0,0,0,0,0,1,8,6,1,0,60,119
sim-balanced-4p-002,10,III,4,3,3,1,4,4,0,0,3,12,8,2,0,70,150
sim-balanced-4p-002,11,III,4,3,3,0,6,4,2,3,5,13,8,1,1,75,168
sim-balanced-4p-002,12,III,4,3,3,1,6,5,1,0,4,18,6,3,2,75,168
sim-balanced-1p-003,1,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-1p-003,2,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-1p-003,3,I,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
sim-balanced-1p-003,4,I,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
sim-balanced-1p-003,5,II,1,0,0,0,0,0,0,0,0,0,0,0,0,15,5
sim-balanced-1p-003,6,II,1,0,0,0,0,0,0,0,0,0,0,0,0,25,30
sim-balanced-1p-003,7,II,1,0,0,0,0,0,0,0,0,0,0,0,0,25,60
sim-balanced-1p-003,8,II,1,1,1,0,2,2,0,0,0,2,2,0,0,25,75
sim-balanced-1p-003,9,III,1,0,0,0,0,0,0,0,0,2,2,0,0,30,80
sim-balanced-1p-003,10,III,1,1,1,0,3,2,1,0,0,4,4,0,0,35,80
sim-balanced-1p-003,11,III,1,1,1,0,3,3,0,0,1,7,7,0,0,40,80
sim-balanced-1p-003,12,III,1,1,1,0,2,2,0,2,2,7,7,0,0,51,80
sim-balanced-2p-003,1,I,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-2p-003,2,I,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-2p-003,3,I,2,0,0,0,0,0,0,0,0,0,0,0,0,10,11
sim-balanced-2p-003,4,I,2,1,1,1,0,0,0,0,0,0,0,0,0,10,26
sim-balanced-2p-003,5,II,2,0,0,0,0,0,0,0,0,0,0,0,0,10,76
sim-balanced-2p-003,6,II,2,0,0,0,0,0,0,0,0,0,0,0,0,10,79
sim-balanced-2p-003,7,II,2,0,0,0,0,0,0,0,0,0,0,0,0,10,79
sim-balanced-2p-003,8,II,2,2,3,3,2,2,0,0,1,2,2,0,0,10,89
sim-balanced-2p-003,9,III,2,0,0,0,0,0,0,0,0,2,2,0,0,39,89
sim-balanced-2p-003,10,III,2,1,1,1,2,2,0,0,1,4,4,0,0,49,89
sim-balanced-2p-003,11,III,2,1,1,1,0,0,0,0,2,4,4,0,0,66,90
sim-balanced-2p-003,12,III,2,1,1,1,0,0,0,0,2,4,4,0,0,78,97
sim-balanced-3p-003,1,I,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15
sim-balanced-3p-003,2,I,3,0,0,0,0,0,0,0,0,0,0,0,0,0,30
sim-balanced-3p-003,3,I,3,1,1,1,1,1,0,0,0,1,1,0,0,10,40
sim-balanced-3p-003,4,I,3,2,2,1,1,1,0,0,0,2,2,0,0,10,40
sim-balanced-3p-003,5,II,3,0,0,0,0,0,0,0,0,2,2,0,0,25,71
sim-balanced-3p-003,6,II,3,2,2,2,0,0,0,0,1,2,2,0,0,30,78
sim-balanced-3p-003,7,II,3,0,0,0,0,0,0,0,1,1,1,0,0,60,103
sim-balanced-3p-003,8,II,3,3,7,2,12,10,2,0,4,11,5,0,2,67,124
