player_count,games,avg_final_score,min_final_score,max_final_score,avg_score_per_player,min_score_per_player,max_score_per_player,avg_final_population,min_final_population,max_final_population,avg_final_renown,min_final_renown,max_final_renown,avg_final_active_burdens,min_final_active_burdens,max_final_active_burdens,avg_total_burdens_revealed,min_total_burdens_revealed,max_total_burdens_revealed,avg_total_burden_applications_with_no_valid_target,min_total_burden_applications_with_no_valid_target,max_total_burden_applications_with_no_valid_target,avg_total_strain_placed,min_total_strain_placed,max_total_strain_placed,avg_total_strain_prevented_by_supported,min_total_strain_prevented_by_supported,max_total_strain_prevented_by_supported,avg_total_strain_removed,min_total_strain_removed,max_total_strain_removed,avg_arrivals_completed,min_arrivals_completed,max_arrivals_completed,avg_arrivals_expired,min_arrivals_expired,max_arrivals_expired,avg_total_upgrade_actions,min_total_upgrade_actions,max_total_upgrade_actions,avg_resource_node_activations,min_resource_node_activations,max_resource_node_activations,avg_placed_travel_tiles,min_placed_travel_tiles,max_placed_travel_tiles,avg_placed_housing_tiles,min_placed_housing_tiles,max_placed_housing_tiles,avg_placed_resource_tiles,min_placed_resource_tiles,max_placed_resource_tiles,avg_placed_special_tiles,min_placed_special_tiles,max_placed_special_tiles
1,20,94.35,52,130,94.35,52,130,43.6,10,74,63.95,35,82,1.3,0,3,3.85,2,5,2.95,0,6,3.05,0,9,0.65,0,3,0.3,0,2,3.6,2,5,0.4,0,2,3.05,2,5,15.05,10,18,7.1,3,12,3.75,0,6,3.25,2,7,2.85,1,5
2,20,146.15,21,219,73.4,11,110,68.75,35,106,105.7,48,190,2.65,0,6,7.65,6,9,6.2,2,9,9,3,20,1.35,0,4,1.65,0,4,5.65,2,9,2.05,0,5,11.55,5,22,33.3,17,47,13.75,3,20,4.5,2,6,7.75,6,9,4.65,1,8
3,20,208.8,71,298,69.6,24,99,101,30,186,138.8,51,220,2.1,0,5,11.5,9,15,7,3,9,12.15,4,19,3.6,0,11,1.5,0,5,8.5,5,12,2.45,0,7,15.35,5,26,51.4,29,68,13.65,4,19,5.8,2,11,8.6,7,9,6.9,3,10
4,20,213.2,94,342,53.5,24,86,84.55,15,164,177.95,115,248,3.05,0,6,16,14,19,10,6,13,20.35,7,33,6.75,1,12,3.05,0,10,7.65,3,12,7.2,2,13,18.4,8,30,57.9,34,85,17.15,12,22,4.4,0,8,8.9,7,9,6.35,2,10
