game_id,random_seed,player_count,bot_profile,final_score,final_population,final_renown,final_placed_tiles,final_upgraded_tiles,final_basic_population,final_basic_renown,final_upgraded_population,final_upgraded_renown,final_warehouse_total,final_warehouse_wood,final_warehouse_stone,final_warehouse_metal,final_warehouse_food,final_warehouse_herbs,final_warehouse_goods,final_strain_tokens,final_active_burdens,total_burdens_revealed,total_burden_applications,total_burden_applications_with_no_valid_target,total_strain_attempted,total_strain_placed,total_strain_prevented_by_supported,total_strain_blocked_by_cap,total_strain_removed,total_upgrade_actions,actions_spent_resolving_burdens,actions_spent_removing_strain,max_tiles_at_1_strain,max_tiles_at_2_strain,max_overstrained_tiles,rounds_with_at_least_one_overstrained_tile,arrivals_completed,arrivals_expired,score_per_player,final_overstrained_tiles,total_place_actions,total_activate_actions,total_production_activations,resource_node_activations,strain_relief_activations,burden_resolution_activations,arrival_timer_activations,steward_power_uses,goods_substitutions_used,placement_discounts_used,upgrade_discounts_used,final_resource_tiles,placed_resource_tiles,upgraded_resource_tiles,final_housing_tiles,placed_housing_tiles,upgraded_housing_tiles,final_travel_tiles,placed_travel_tiles,upgraded_travel_tiles,final_crafting_tiles,placed_crafting_tiles,upgraded_crafting_tiles,final_merchant_tiles,placed_merchant_tiles,upgraded_merchant_tiles,final_social_tiles,placed_social_tiles,upgraded_social_tiles,final_wellbeing_tiles,placed_wellbeing_tiles,upgraded_wellbeing_tiles,final_special_tiles,placed_special_tiles,upgraded_special_tiles,production_gained_wood,production_capped_wood,production_gained_stone,production_capped_stone,production_gained_metal,production_capped_metal,production_gained_food,production_capped_food,production_gained_herbs,production_capped_herbs,production_gained_goods,production_capped_goods
sim-balanced-4p-009,playtester-bot-balance-2026-06-13-deal-09-4p,4,balanced,277,104,219,38,28,52,45,52,114,40,15,3,9,9,4,0,14,3,15,15,7,25,19,6,0,4,28,12,0,8,4,1,1,9,7,69,0,38,63,63,63,0,0,0,9,6,3,9,9,9,9,6,6,4,12,12,12,2,2,2,2,2,1,0,0,0,0,0,0,7,7,0,69,0,29,16,44,26,73,16,24,0,33,1
sim-balanced-1p-010,playtester-bot-balance-2026-06-13-deal-10-1p,1,balanced,133,65,78,20,5,65,40,0,23,26,15,0,2,8,0,1,2,1,4,4,1,7,5,2,0,0,5,3,0,2,0,0,0,4,1,133,0,20,16,16,16,0,0,0,2,2,1,0,3,3,2,5,5,0,5,5,3,0,0,0,2,2,0,0,0,0,1,1,0,4,4,0,22,23,0,0,2,0,26,4,0,0,0,0
sim-balanced-2p-010,playtester-bot-balance-2026-06-13-deal-10-2p,2,balanced,215,123,116,28,18,82,25,41,61,27,15,0,4,3,5,0,6,2,8,9,8,9,9,0,0,3,18,4,3,3,0,1,4,4,2,108,1,28,46,36,36,3,0,5,5,0,4,1,6,6,6,8,8,3,8,8,8,0,0,0,0,0,0,0,0,0,2,2,1,4,4,0,31,57,26,1,16,2,54,0,27,0,0,0
sim-balanced-3p-010,playtester-bot-balance-2026-06-13-deal-10-3p,3,balanced,242,62,200,30,20,62,40,0,115,37,9,3,15,3,1,6,10,0,9,9,6,13,11,2,0,1,20,7,1,5,1,2,3,8,4,81,2,30,60,51,51,1,0,6,7,0,2,0,7,7,7,3,3,0,11,11,11,0,0,0,0,0,0,3,3,2,0,0,0,6,6,0,24,41,47,28,44,15,54,2,0,0,24,2
sim-balanced-4p-010,playtester-bot-balance-2026-06-13-deal-10-4p,4,balanced,315,112,217,36,22,35,70,77,102,52,6,11,14,15,3,3,4,1,15,18,13,17,11,6,0,0,22,14,0,2,1,1,2,15,2,79,0,36,63,61,61,0,0,2,9,0,3,2,9,9,9,4,4,4,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,38,0,45,5,71,11,93,7,21,0,50,2
sim-balanced-1p-011,playtester-bot-balance-2026-06-13-deal-11-1p,1,balanced,136,82,60,20,3,82,40,0,5,17,11,0,0,1,0,5,0,1,4,5,5,0,0,0,0,0,3,3,0,0,0,0,0,3,0,136,0,20,20,20,20,0,0,0,3,0,1,0,3,3,2,6,6,0,5,5,1,0,0,0,1,1,0,1,1,0,1,1,0,3,3,0,15,42,0,0,4,0,35,3,0,0,0,0
sim-balanced-2p-011,playtester-bot-balance-2026-06-13-deal-11-2p,2,balanced,108,116,40,19,14,57,10,59,15,17,1,4,1,6,4,1,12,4,8,11,6,20,18,1,1,4,14,4,1,6,1,2,3,4,5,54,2,19,46,45,45,1,0,0,5,0,1,1,6,6,6,7,7,4,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,19,38,21,6,16,2,66,6,36,15,0,0
sim-balanced-3p-011,playtester-bot-balance-2026-06-13-deal-11-3p,3,balanced,306,143,197,34,27,37,30,106,122,24,1,0,9,9,1,4,14,1,12,12,5,21,16,5,0,2,27,11,0,9,3,0,0,6,4,102,0,33,65,65,65,0,0,0,8,0,3,1,9,9,9,8,8,7,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,36,0,30,9,46,13,106,5,0,0,55,25
sim-balanced-4p-011,playtester-bot-balance-2026-06-13-deal-11-4p,4,balanced,172,57,197,37,21,57,60,0,92,35,1,0,15,3,1,15,26,5,17,21,11,34,30,4,0,3,21,12,1,8,3,4,4,6,9,43,4,37,54,52,52,1,0,0,6,0,1,3,9,9,9,3,3,0,15,15,12,2,2,0,0,0,0,2,2,0,0,0,0,6,6,0,33,0,26,1,63,35,45,0,3,0,60,2
sim-balanced-1p-012,playtester-bot-balance-2026-06-13-deal-12-1p,1,balanced,68,44,24,12,7,21,0,23,24,22,15,1,1,2,3,0,0,0,2,2,1,2,2,0,0,0,7,2,0,2,0,0,0,5,0,68,0,12,22,22,22,0,0,0,2,0,2,0,2,2,2,4,4,1,2,2,2,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,16,50,0,0,0,0,44,0,0,0,0,0
sim-balanced-2p-012,playtester-bot-balance-2026-06-13-deal-12-2p,2,balanced,175,99,102,32,17,47,41,52,46,19,0,3,6,8,0,2,7,2,7,10,7,8,7,1,0,0,17,5,0,4,0,1,2,8,1,88,1,31,38,38,38,0,0,0,5,0,0,2,8,8,8,6,6,4,8,8,5,0,0,0,0,0,0,0,0,0,3,3,0,7,6,0,15,0,23,16,25,1,65,1,15,9,24,0
sim-balanced-3p-012,playtester-bot-balance-2026-06-13-deal-12-3p,3,balanced,277,196,117,28,17,77,40,119,32,36,0,7,6,7,1,15,12,2,12,12,7,13,13,0,0,0,17,9,0,4,3,1,1,12,1,92,1,28,81,80,76,0,0,0,8,0,6,1,7,7,7,11,11,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,31,9,32,22,60,27,122,29,0,0,67,24
sim-balanced-4p-012,playtester-bot-balance-2026-06-13-deal-12-4p,4,balanced,188,79,183,35,23,64,41,15,97,7,0,0,1,4,0,2,19,6,16,21,14,30,26,4,0,3,23,10,0,10,1,3,5,6,9,47,3,35,42,39,39,0,0,3,7,0,2,3,9,9,9,4,4,1,14,14,12,1,1,0,0,0,0,2,2,1,0,0,0,5,5,0,24,0,34,1,35,17,45,0,3,0,38,0
sim-balanced-1p-013,playtester-bot-balance-2026-06-13-deal-13-1p,1,balanced,136,98,50,20,4,98,30,0,5,31,13,1,3,4,1,9,3,1,4,4,3,3,3,0,0,0,4,3,0,1,1,0,0,4,0,136,0,20,18,18,18,0,0,0,2,0,3,0,3,3,3,8,8,0,3,3,1,0,0,0,0,0,0,0,0,0,2,2,0,4,4,0,24,27,0,0,5,0,33,1,0,0,2,0
sim-balanced-2p-013,playtester-bot-balance-2026-06-13-deal-13-2p,2,balanced,131,123,30,18,12,49,15,74,0,41,15,4,1,10,11,0,5,2,8,10,8,8,6,2,0,0,12,6,0,4,0,1,2,5,3,66,1,18,51,51,51,0,0,0,4,0,1,1,6,6,6,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,3,0,29,46,23,7,16,4,82,0,29,19,0,0
sim-balanced-3p-013,playtester-bot-balance-2026-06-13-deal-13-3p,3,balanced,219,71,192,36,14,71,75,0,72,32,0,13,15,4,0,0,13,3,12,13,7,20,17,3,0,2,14,9,0,9,2,0,0,6,5,73,0,36,54,52,52,0,0,2,8,1,3,0,9,9,6,5,5,0,13,13,8,0,0,0,2,2,0,1,1,0,0,0,0,6,6,0,24,3,38,34,38,50,50,1,0,0,36,2
sim-balanced-4p-013,playtester-bot-balance-2026-06-13-deal-13-4p,4,balanced,346,187,183,39,21,100,65,87,58,25,0,8,0,2,2,13,12,0,15,15,9,18,13,5,0,0,21,14,0,5,2,1,2,15,2,87,1,38,87,85,85,0,0,0,11,3,6,1,9,9,8,10,10,6,6,6,6,0,0,0,1,1,1,0,0,0,0,0,0,13,12,0,46,5,53,20,56,50,127,0,18,0,78,0
sim-balanced-1p-014,playtester-bot-balance-2026-06-13-deal-14-1p,1,balanced,113,55,74,22,8,27,31,28,28,16,0,0,0,6,0,10,5,1,4,5,3,5,5,0,0,0,8,3,0,3,1,0,0,2,1,113,0,22,14,14,14,0,0,0,2,4,3,2,4,4,4,4,4,2,6,6,2,2,2,0,2,2,0,0,0,0,3,3,0,1,1,0,5,1,0,0,5,0,37,0,0,0,21,3
